161,IPIM INDEC Instrumentos médicos, ópticos y de precisión,Indice de Produccion Industrial Manufacturero de Instrumentos médicos, ópticos y de precisión. FUENTE: INDEC
162,IPIM INDEC Vehículos automotores, carrocerías, remolques y autopartes,Indice de Produccion Industrial Manufacturero de Vehículos automotores, carrocerías, remolques y autopartes. FUENTE: INDEC
163,IPIM INDEC Vehículos automotores,Indice de Produccion Industrial Manufacturero de Vehículos automotores. FUENTE: INDEC
164,IPIM INDEC Carrocerías, remolques y semirremolques,Indice de Produccion Industrial Manufacturero de Carrocerías, remolques y semirremolques. FUENTE: INDEC
165,IPIM INDEC Autopartes,Indice de Produccion Industrial Manufacturero de Autopartes. FUENTE: INDEC
166,IPIM INDEC Otro equipo de transporte,Indice de Produccion Industrial Manufacturero de Otro equipo de transporte. FUENTE: INDEC
167,IPIM INDEC Motocicletas,Indice de Produccion Industrial Manufacturero de Motocicletas. FUENTE: INDEC
168,IPIM INDEC Otro equipo de transporte,Indice de Produccion Industrial Manufacturero de Otro equipo de transporte. FUENTE: INDEC
169,IPIM INDEC Muebles y colchones, y otras industrias manufactureras,Indice de Produccion Industrial Manufacturero de Muebles y colchones, y otras industrias manufactureras. FUENTE: INDEC
170,IPIM INDEC Muebles y colchones,Indice de Produccion Industrial Manufacturero de Muebles y colchones. FUENTE: INDEC
171,IPIM INDEC Otras industrias manufactureras,Indice de Produccion Industrial Manufacturero de Otras industrias manufactureras. FUENTE: INDEC
172,IPIM INDEC Reciclamiento y reparación, instalación y mantenimiento,Indice de Produccion Industrial Manufacturero de Reciclamiento y reparación, instalación y mantenimiento. FUENTE: INDEC
173,Faena Bovina,Bovinos faenados. FUENTE: SECRETARIA DE AGROINDUSTRIA
